date,base_price,unit
2022-03-09,0.3,US$/Wp
2022-03-09,0.265,US$/Wp
2022-03-09,0.27,US$/Wp
2022-03-09,0.27,US$/Wp
2022-03-09,0.275,US$/Wp
2022-03-09,0.275,US$/Wp
2022-03-16,0.202,US$/Wp
2022-03-16,0.3,US$/Wp
2022-03-16,0.3,US$/Wp
2022-03-16,0.265,US$/Wp
2022-03-16,0.27,US$/Wp
2022-03-16,0.27,US$/Wp
2022-03-16,0.275,US$/Wp
2022-03-16,0.275,US$/Wp
2022-03-23,0.202,US$/Wp
2022-03-23,0.3,US$/Wp
2022-03-23,0.3,US$/Wp
2022-03-23,0.265,US$/Wp
2022-03-23,0.27,US$/Wp
2022-03-23,0.27,US$/Wp
2022-03-23,0.275,US$/Wp
2022-03-23,0.275,US$/Wp
2022-03-30,0.202,US$/Wp
2022-03-30,0.3,US$/Wp
2022-03-30,0.3,US$/Wp
2022-03-30,0.265,US$/Wp
2022-03-30,0.27,US$/Wp
2022-03-30,0.27,US$/Wp
2022-03-30,0.275,US$/Wp
2022-03-30,0.275,US$/Wp
2022-04-06,0.201,US$/Wp
2022-04-06,0.3,US$/Wp
2022-04-06,0.3,US$/Wp
2022-04-06,0.265,US$/Wp
2022-04-06,0.27,US$/Wp
2022-04-06,0.27,US$/Wp
2022-04-06,0.275,US$/Wp
2022-04-06,0.275,US$/Wp
2022-04-13,0.201,US$/Wp
2022-04-13,0.3,US$/Wp
2022-04-13,0.3,US$/Wp
2022-04-13,0.265,US$/Wp
2022-04-13,0.27,US$/Wp
2022-04-13,0.27,US$/Wp
2022-04-13,0.275,US$/Wp
2022-04-13,0.275,US$/Wp
2022-04-20,0.201,US$/Wp
2022-04-20,0.29,US$/Wp
2022-04-20,0.29,US$/Wp
2022-04-20,0.265,US$/Wp
2022-04-20,0.27,US$/Wp
2022-04-20,0.27,US$/Wp
2022-04-20,0.275,US$/Wp
2022-04-20,0.275,US$/Wp
2022-04-27,0.2,US$/Wp
2022-04-27,0.29,US$/Wp
2022-04-27,0.29,US$/Wp
2022-04-27,0.265,US$/Wp
2022-04-27,0.27,US$/Wp
