date,base_price
2022-03-02,0.275
2022-03-09,0.203
2022-03-09,0.3
2022-03-09,0.3
2022-03-09,0.265
2022-03-09,0.27
2022-03-09,0.27
2022-03-09,0.275
2022-03-09,0.275
2022-03-16,0.202
2022-03-16,0.3
2022-03-16,0.3
2022-03-16,0.265
2022-03-16,0.27
2022-03-16,0.27
2022-03-16,0.275
2022-03-16,0.275
2022-03-23,0.202
2022-03-23,0.3
2022-03-23,0.3
2022-03-23,0.265
2022-03-23,0.27
2022-03-23,0.27
2022-03-23,0.275
2022-03-23,0.275
2022-03-30,0.202
2022-03-30,0.3
2022-03-30,0.3
2022-03-30,0.265
2022-03-30,0.27
2022-03-30,0.27
2022-03-30,0.275
2022-03-30,0.275
2022-04-06,0.201
2022-04-06,0.3
2022-04-06,0.3
2022-04-06,0.265
2022-04-06,0.27
2022-04-06,0.27
2022-04-06,0.275
2022-04-06,0.275
2022-04-13,0.201
2022-04-13,0.3
2022-04-13,0.3
2022-04-13,0.265
2022-04-13,0.27
2022-04-13,0.27
2022-04-13,0.275
2022-04-13,0.275
2022-04-20,0.201
2022-04-20,0.29
2022-04-20,0.29
2022-04-20,0.265
2022-04-20,0.27
2022-04-20,0.27
2022-04-20,0.275
2022-04-20,0.275
2022-04-27,0.2
2022-04-27,0.29
2022-04-27,0.29
2022-04-27,0.265
2022-04-27,0.27
2022-04-27,0.27
2022-04-27,0.275
2022-04-27,0.275
2022-05-04,0.2
2022-05-04,0.29
2022-05-04,0.29
2022-05-04,0.265
2022-05-04,0.27
2022-05-04,0.27
2022-05-04,0.275
2022-05-04,0.275
2022-05-11,0.199
2022-05-11,0.28
2022-05-11,0.28
2022-05-11,0.265
2022-05-11,0.27
2022-05-11,0.27
2022-05-11,0.275
2022-05-11,0.275
2022-05-18,0.199
2022-05-18,0.29
2022-05-18,0.29
2022-05-18,0.265
2022-05-18,0.27
2022-05-18,0.27
2022-05-18,0.275
2022-05-18,0.275
2022-05-25,0.209
2022-05-25,0.29
2022-05-25,0.29
2022-05-25,0.265
2022-05-25,0.27
2022-05-25,0.27
2022-05-25,0.275
2022-05-25,0.275
2022-06-01,0.209
2022-06-01,0.29
2022-06-01,0.29
2022-06-01,0.265
2022-06-01,0.27
2022-06-01,0.27
2022-06-01,0.275
2022-06-01,0.275
2022-06-08,0.209
2022-06-08,0.29
2022-06-08,0.29
2022-06-08,0.265
2022-06-08,0.27
2022-06-08,0.27
2022-06-08,0.275
2022-06-08,0.275
2022-06-15,0.208
2022-06-15,0.29
2022-06-15,0.29
2022-06-15,0.265
2022-06-15,0.27
2022-06-15,0.27
2022-06-15,0.275
2022-06-15,0.275
2022-06-22,0.208
2022-06-22,0.29
2022-06-22,0.29
2022-06-22,0.265
2022-06-22,0.27
2022-06-22,0.27
2022-06-22,0.275
2022-06-22,0.275
2022-06-29,0.216
2022-06-29,0.29
2022-06-29,0.29
2022-06-29,0.265
2022-06-29,0.27
2022-06-29,0.27
2022-06-29,0.275
2022-06-29,0.275
2022-07-06,0.218
2022-07-06,0.29
2022-07-06,0.29
2022-07-06,0.265
2022-07-06,0.27
2022-07-06,0.27
2022-07-06,0.275
2022-07-06,0.275
2022-07-13,0.218
2022-07-13,0.29
2022-07-13,0.29
2022-07-13,0.265
2022-07-13,0.27
2022-07-13,0.27
2022-07-13,0.275
2022-07-13,0.275
2022-07-20,0.218
2022-07-20,0.29
2022-07-20,0.29
2022-07-20,0.29
2022-07-20,0.29
2022-07-20,0.265
2022-07-20,0.27
2022-07-20,0.27
2022-07-20,0.275
2022-07-20,0.275
2022-07-27,0.218
2022-07-27,0.29
2022-07-27,0.29
2022-07-27,0.29
2022-07-27,0.29
2022-07-27,0.265
2022-07-27,0.27
2022-07-27,0.27
2022-07-27,0.275
2022-07-27,0.275
2022-08-03,0.218
2022-08-03,0.29
2022-08-03,0.29
2022-08-03,0.29
2022-08-03,0.29
2022-08-03,0.265
2022-08-03,0.27
2022-08-03,0.27
2022-08-03,0.275
2022-08-03,0.275
2022-08-10,0.218
2022-08-10,0.29
2022-08-10,0.29
2022-08-10,0.29
2022-08-10,0.29
2022-08-10,0.265
2022-08-10,0.27
2022-08-10,0.27
2022-08-10,0.275
2022-08-10,0.275
2022-08-17,0.218
2022-08-17,0.29
2022-08-17,0.29
2022-08-17,0.29
2022-08-17,0.29
2022-08-17,0.265
2022-08-17,0.27
2022-08-17,0.27
2022-08-17,0.275
2022-08-17,0.275
2022-08-24,0.217
2022-08-24,0.28
2022-08-24,0.28
2022-08-24,0.29
2022-08-24,0.29
2022-08-24,0.265
2022-08-24,0.27
2022-08-24,0.27
2022-08-24,0.275
2022-08-24,0.275
2022-08-31,0.215
2022-08-31,0.29
2022-08-31,0.29
2022-08-31,0.29
2022-08-31,0.29
2022-08-31,0.265
2022-08-31,0.27
2022-08-31,0.27
2022-08-31,0.275
2022-08-31,0.275
2022-09-07,0.213
2022-09-07,0.28
2022-09-07,0.28
2022-09-07,0.28
2022-09-07,0.28
2022-09-07,0.265
2022-09-07,0.27
2022-09-07,0.27
2022-09-07,0.275
2022-09-07,0.275
2022-09-14,0.212
2022-09-14,0.28
2022-09-14,0.28
2022-09-14,0.28
2022-09-14,0.28
2022-09-14,0.26
2022-09-14,0.268
2022-09-14,0.268
2022-09-14,0.273
2022-09-14,0.273
2022-09-21,0.21
2022-09-21,0.28
2022-09-21,0.28
2022-09-21,0.28
2022-09-21,0.28
2022-09-21,0.26
2022-09-21,0.265
2022-09-21,0.265
2022-09-21,0.27
2022-09-21,0.27
2022-09-28,0.204
2022-09-28,0.28
2022-09-28,0.28
2022-09-28,0.28
2022-09-28,0.28
2022-09-28,0.255
2022-09-28,0.26
2022-09-28,0.26
2022-09-28,0.265
2022-09-28,0.265
2022-10-05,0.204
2022-10-05,0.28
2022-10-05,0.28
2022-10-05,0.28
2022-10-05,0.28
2022-10-05,0.255
2022-10-05,0.26
2022-10-05,0.26
2022-10-05,0.265
2022-10-05,0.265
2022-10-12,0.203
2022-10-12,0.27
2022-10-12,0.27
2022-10-12,0.28
2022-10-12,0.28
2022-10-12,0.25
2022-10-12,0.26
2022-10-12,0.26
2022-10-12,0.265
2022-10-12,0.265
2022-10-19,0.201
2022-10-19,0.27
2022-10-19,0.27
2022-10-19,0.28
2022-10-19,0.28
2022-10-19,0.25
2022-10-19,0.26
2022-10-19,0.26
2022-10-19,0.265
2022-10-19,0.265
2022-10-26,0.2
2022-10-26,0.27
2022-10-26,0.27
2022-10-26,0.28
2022-10-26,0.28
2022-10-26,0.25
2022-10-26,0.26
2022-10-26,0.26
2022-10-26,0.265
2022-10-26,0.265
2022-11-02,0.198
2022-11-02,0.27
2022-11-02,0.27
2022-11-02,0.27
2022-11-02,0.27
2022-11-02,0.25
2022-11-02,0.26
2022-11-02,0.26
2022-11-02,0.265
2022-11-02,0.265
2022-11-09,0.197
2022-11-09,0.27
2022-11-09,0.27
2022-11-09,0.27
2022-11-09,0.27
2022-11-09,0.25
2022-11-09,0.26
2022-11-09,0.26
2022-11-09,0.265
2022-11-09,0.265
2022-11-16,0.201
2022-11-16,0.28
2022-11-16,0.28
2022-11-16,0.28
2022-11-16,0.28
2022-11-16,0.25
2022-11-16,0.255
2022-11-16,0.255
2022-11-16,0.26
2022-11-16,0.26
2022-11-23,0.2
2022-11-23,0.27
2022-11-23,0.27
2022-11-23,0.28
2022-11-23,0.28
2022-11-23,0.25
2022-11-23,0.255
2022-11-23,0.255
2022-11-23,0.26
2022-11-23,0.26
2022-11-30,0.2
2022-11-30,0.28
2022-11-30,0.28
2022-11-30,0.28
2022-11-30,0.28
2022-11-30,0.245
2022-11-30,0.25
2022-11-30,0.25
2022-11-30,0.255
2022-11-30,0.255
2022-12-07,0.204
2022-12-07,0.28
2022-12-07,0.28
2022-12-07,0.28
2022-12-07,0.28
2022-12-07,0.24
2022-12-07,0.245
2022-12-07,0.245
2022-12-07,0.25
2022-12-07,0.25
2022-12-14,0.203
2022-12-14,0.28
2022-12-14,0.28
2022-12-14,0.28
2022-12-14,0.28
2022-12-14,0.24
2022-12-14,0.245
2022-12-14,0.245
2022-12-14,0.25
2022-12-14,0.25
2022-12-21,0.201
2022-12-21,0.28
2022-12-21,0.28
2022-12-21,0.28
2022-12-21,0.28
2022-12-21,0.235
2022-12-21,0.24
2022-12-21,0.24
2022-12-21,0.245
2022-12-21,0.245
2022-12-28,0.198
2022-12-28,0.27
2022-12-28,0.27
2022-12-28,0.28
2022-12-28,0.28
2022-12-28,0.235
2022-12-28,0.24
2022-12-28,0.24
2022-12-28,0.245
2022-12-28,0.245
2023-01-04,0.192
2023-01-04,0.26
2023-01-04,0.26
2023-01-04,0.26
2023-01-04,0.26
2023-01-04,0.235
2023-01-04,0.24
2023-01-04,0.24
2023-01-04,0.245
2023-01-04,0.245
2023-01-11,0.19
2023-01-11,0.26
2023-01-11,0.26
2023-01-11,0.26
2023-01-11,0.26
2023-01-11,0.23
2023-01-11,0.23
2023-01-11,0.235
2023-01-11,0.235
2023-01-18,0.19
2023-01-18,0.26
2023-01-18,0.26
2023-01-18,0.26
2023-01-18,0.26
2023-01-18,0.225
2023-01-18,0.225
2023-01-18,0.23
2023-01-18,0.23
2023-01-25,0.19
2023-01-25,0.26
2023-01-25,0.26
2023-01-25,0.26
2023-01-25,0.26
2023-01-25,0.225
2023-01-25,0.225
2023-01-25,0.23
2023-01-25,0.23
2023-02-01,0.189
2023-02-01,0.26
2023-02-01,0.26
2023-02-01,0.27
2023-02-01,0.27
2023-02-01,0.225
2023-02-01,0.225
2023-02-01,0.23
2023-02-01,0.23
2023-02-08,0.189
2023-02-08,0.26
2023-02-08,0.26
2023-02-08,0.26
2023-02-08,0.26
2023-02-08,0.225
2023-02-08,0.225
2023-02-08,0.23
2023-02-08,0.23
2023-02-15,0.189
2023-02-15,0.26
2023-02-15,0.26
2023-02-15,0.26
2023-02-15,0.26
2023-02-15,0.225
2023-02-15,0.225
2023-02-15,0.23
2023-02-15,0.23
2023-02-22,0.187
2023-02-22,0.26
2023-02-22,0.26
2023-02-22,0.26
2023-02-22,0.26
2023-02-22,0.225
2023-02-22,0.225
2023-02-22,0.23
2023-02-22,0.23
2023-03-01,0.186
2023-03-01,0.25
2023-03-01,0.25
2023-03-01,0.26
2023-03-01,0.26
2023-03-01,0.22
2023-03-01,0.22
2023-03-01,0.225
2023-03-01,0.225
2023-03-08,0.185
2023-03-08,0.25
2023-03-08,0.25
2023-03-08,0.26
2023-03-08,0.26
2023-03-08,0.22
2023-03-08,0.22
2023-03-08,0.225
2023-03-08,0.225
2023-03-15,0.185
2023-03-15,0.25
2023-03-15,0.25
2023-03-15,0.26
2023-03-15,0.26
2023-03-15,0.22
2023-03-15,0.22
2023-03-15,0.225
2023-03-15,0.225
2023-03-22,0.185
2023-03-22,0.25
2023-03-22,0.25
2023-03-22,0.26
2023-03-22,0.26
2023-03-22,0.22
2023-03-22,0.22
2023-03-22,0.225
2023-03-22,0.225
2023-03-29,0.185
2023-03-29,0.208
2023-03-29,0.25
2023-03-29,0.25
2023-03-29,0.26
2023-03-29,0.26
2023-03-29,0.22
2023-03-29,0.22
2023-03-29,0.225
2023-03-29,0.225
2023-04-05,0.206
2023-04-05,0.25
2023-04-05,0.25
2023-04-05,0.26
2023-04-05,0.26
2023-04-05,0.215
2023-04-05,0.215
2023-04-05,0.22
2023-04-05,0.22
2023-04-12,0.205
2023-04-12,0.24
2023-04-12,0.24
2023-04-12,0.25
2023-04-12,0.25
2023-04-12,0.215
2023-04-12,0.215
2023-04-12,0.22
2023-04-12,0.22
2023-04-19,0.205
2023-04-19,0.24
2023-04-19,0.24
2023-04-19,0.25
2023-04-19,0.25
2023-04-19,0.215
2023-04-19,0.215
2023-04-19,0.22
2023-04-19,0.22
2023-04-19,0.26
2023-04-19,0.28
2023-04-26,0.205
2023-04-26,0.24
2023-04-26,0.24
2023-04-26,0.24
2023-04-26,0.25
2023-04-26,0.215
2023-04-26,0.215
2023-04-26,0.22
2023-04-26,0.22
2023-04-26,0.26
2023-04-26,0.28
2023-05-03,0.205
2023-05-03,0.24
2023-05-03,0.24
2023-05-03,0.24
2023-05-03,0.25
2023-05-03,0.215
2023-05-03,0.215
2023-05-03,0.22
2023-05-03,0.22
2023-05-03,0.26
2023-05-03,0.28
2023-05-10,0.203
2023-05-10,0.24
2023-05-10,0.24
2023-05-10,0.24
2023-05-10,0.25
2023-05-10,0.21
2023-05-10,0.21
2023-05-10,0.215
2023-05-10,0.215
2023-05-10,0.26
2023-05-10,0.28
2023-05-17,0.198
2023-05-17,0.24
2023-05-17,0.24
2023-05-17,0.24
2023-05-17,0.24
2023-05-17,0.21
2023-05-17,0.21
2023-05-17,0.215
2023-05-17,0.215
2023-05-17,0.25
2023-05-17,0.27
2023-05-24,0.195
2023-05-24,0.23
2023-05-24,0.23
2023-05-24,0.23
2023-05-24,0.24
2023-05-24,0.21
2023-05-24,0.21
2023-05-24,0.215
2023-05-24,0.215
2023-05-24,0.25
2023-05-24,0.26
2023-05-31,0.193
2023-05-31,0.23
2023-05-31,0.23
2023-05-31,0.23
2023-05-31,0.23
2023-05-31,0.21
2023-05-31,0.21
2023-05-31,0.215
2023-05-31,0.215
2023-05-31,0.24
2023-05-31,0.26
2023-06-07,0.187
2023-06-07,0.218
2023-06-07,0.221
2023-06-07,0.22
2023-06-07,0.223
2023-06-07,0.205
2023-06-07,0.205
2023-06-07,0.21
2023-06-07,0.21
2023-06-07,0.238
2023-06-07,0.252
2023-06-14,0.167
2023-06-14,0.203
2023-06-14,0.207
2023-06-14,0.204
2023-06-14,0.209
2023-06-14,0.2
2023-06-14,0.2
2023-06-14,0.205
2023-06-14,0.205
2023-06-14,0.224
