date,base_price,unit
2022-02-23,0.27,US$/Wp
2022-03-02,0.273,US$/Wp
2022-03-09,0.275,US$/Wp
2022-03-16,0.275,US$/Wp
2022-03-23,0.275,US$/Wp
2022-03-30,0.275,US$/Wp
2022-04-06,0.275,US$/Wp
2022-04-13,0.275,US$/Wp
2022-04-20,0.275,US$/Wp
2022-04-27,0.275,US$/Wp
2022-05-04,0.275,US$/Wp
2022-05-11,0.275,US$/Wp
2022-05-18,0.28,US$/Wp
2022-05-25,0.28,US$/Wp
2022-06-01,0.28,US$/Wp
2022-06-08,0.28,US$/Wp
2022-06-15,0.28,US$/Wp
2022-06-22,0.28,US$/Wp
2022-06-29,0.28,US$/Wp
2022-07-06,0.28,US$/Wp
2022-07-13,0.28,US$/Wp
2022-07-20,0.285,US$/Wp
2022-07-27,0.285,US$/Wp
2022-08-03,0.285,US$/Wp
2022-08-03,0.285,US$/Wp
2022-08-10,0.285,US$/Wp
2022-08-10,0.285,US$/Wp
2022-08-17,0.285,US$/Wp
2022-08-17,0.285,US$/Wp
2022-08-24,0.285,US$/Wp
2022-08-24,0.285,US$/Wp
2022-08-31,0.28,US$/Wp
2022-08-31,0.28,US$/Wp
2022-09-07,0.28,US$/Wp
2022-09-07,0.28,US$/Wp
2022-09-14,0.275,US$/Wp
2022-09-14,0.275,US$/Wp
2022-09-21,0.27,US$/Wp
2022-09-21,0.27,US$/Wp
2022-09-28,0.265,US$/Wp
2022-09-28,0.265,US$/Wp
2022-10-05,0.265,US$/Wp
2022-10-05,0.265,US$/Wp
2022-10-12,0.26,US$/Wp
2022-10-12,0.26,US$/Wp
2022-10-19,0.26,US$/Wp
2022-10-19,0.26,US$/Wp
2022-10-26,0.26,US$/Wp
2022-10-26,0.26,US$/Wp
2022-11-02,0.26,US$/Wp
2022-11-02,0.26,US$/Wp
2022-11-09,0.26,US$/Wp
2022-11-09,0.26,US$/Wp
2022-11-16,0.255,US$/Wp
2022-11-16,0.255,US$/Wp
2022-11-23,0.255,US$/Wp
